landslide_id,longitude,latitude,utm_x,utm_y,label
LS_00578,80.41388151380751,7.447751998901367,435325.1851319146,823289.6566945543,1
LS_00580,80.40353965759277,7.450004577636719,434184.31693116843,823540.2161155212,1
LS_00582,80.39831209182739,7.405426025390624,433600.77619949187,818612.6373249961,1
LS_00584,80.41796389493075,7.406587600708008,435769.69144247804,818738.1665506846,1
LS_00587,80.43477401733398,7.422859191894532,437627.1139066947,820534.657936172,1
LS_00590,80.71396479887122,7.097555160522461,468413.5968985974,784543.0148189729,1
LS_00592,80.68941446940104,7.112661361694336,465703.6386718594,786214.7285008382,1
LS_00596,80.71424039204916,7.113895416259766,468445.14491378673,786349.3847507109,1
LS_00597,80.70824599266052,7.114147186279297,467783.2285264249,786377.6306803407,1
LS_00598,80.72340461186,7.104339599609375,469456.4757493679,785292.3903904014,1
LS_00600,80.72545659542084,7.131608963012695,469684.8612086972,788306.8381459218,1
LS_00601,80.70618335125312,7.057876894741186,467551.5254281684,780157.1865514187,1
LS_00603,80.69694232860934,6.966331481933594,466524.42289311264,770037.6682823835,1
LS_00614,80.69082570075989,6.959262847900391,465848.26616668154,769256.6832352552,1
LS_00616,80.69813251495361,6.982725143432617,466657.0508142284,771849.8691618064,1
LS_00617,80.69887948036194,6.990184783935548,466740.08522391785,772674.4644247688,1
LS_00618,80.6915205001831,6.978525161743164,465926.4062337642,771386.0424682058,1
LS_00624,80.68851238886515,6.970615386962891,465593.5600873814,770511.8510216874,1
LS_00627,80.68063749116043,6.972019195556641,464723.80735868146,770667.6205306839,1
LS_00629,80.67468917269667,6.971042633056641,464066.6858577138,770560.1120581031,1
LS_00630,80.659035382952,6.980684280395508,462338.34413727035,771627.2002936027,1
LS_00632,80.63629544453153,6.920558929443359,459821.4390609262,764982.311481125,1
LS_00633,80.3853660583496,7.00132942199707,432111.9700016526,773940.214786977,1
LS_00635,80.75893676752187,7.610076083293343,473410.32190748194,841198.9661465088,1
LS_00636,80.78824440638223,7.583492279052734,476641.58292162605,838258.4300802369,1
LS_00638,80.76516990661621,7.578369140624999,474095.9527609129,837693.3748593505,1
LS_00642,80.77593358357748,7.551660537719727,475281.7770557717,834740.1088588976,1
LS_00643,80.75072202512196,7.539272308349609,472499.7275395404,833372.0974181612,1
LS_00648,80.76921281004263,7.525251388549805,474538.81819402886,831820.9635648655,1
LS_00654,80.7782429854075,7.519775390625,475534.75425082434,831215.0774135436,1
LS_00656,80.76683289664132,7.499721527099609,474274.7554707364,828998.778875712,1
LS_00663,80.80828971332974,7.5079345703125,478849.08661066595,829904.5138204107,1
LS_00664,80.82964587211609,7.528877258300781,481206.1657227855,832218.7453037292,1
