landslide_id,longitude,latitude,area_m2,perimeter_m,min_lon,min_lat,max_lon,max_lat
LS_00102,80.83835124969482,7.445268630981445,4476.794534805167,482.99380847969803,80.8325489870169,7.439477219481616,80.84415337186964,7.451060015004265
LS_00103,80.87100960867745,7.44816780090332,1250.0113843951715,153.4399910989159,80.86520773942785,7.442376747737511,80.87681136192461,7.453958704715098
LS_00104,80.83584594726562,7.43964958190918,3690.8274253920276,426.7240967780598,80.830043722138,7.433858115216312,80.8416480203465,7.445440974598321
LS_00105,80.83740997314453,7.4352264404296875,1216.5010035432645,181.3466462745538,80.83160782745341,7.429434993881984,80.84321196687765,7.441017813036505
LS_00106,80.83849143981934,7.435941696166992,1659.0395601577325,224.5576707196864,80.83268918439673,7.430150206422242,80.84429331529834,7.4417329979519895
LS_00107,80.8332290649414,7.438783645629883,2474.255543907583,290.8876740191092,80.82742682833144,7.432992144826358,80.83903117034485,7.444575071091206
LS_00108,80.83897304534912,7.432107925415039,1528.2251940161177,165.50540949879203,80.83317103948508,7.426316565751294,80.84477505523424,7.437899344794372
LS_00109,80.83809051513671,7.431421279907227,807.2500059607754,105.08510750455376,80.83228843393319,7.425629842014448,80.84389245387717,7.437212643591493
LS_00110,80.83838019371032,7.432762145996094,710.4133686541484,99.70051983298136,80.83257810303405,7.426970712372328,80.84418215151001,7.438553506603744
LS_00111,80.84967676798502,7.429407119750977,1511.013803576186,171.09667441999213,80.84387487515008,7.423615829767059,80.85547854422732,7.435198334919677
LS_00112,80.85133965810141,7.42982292175293,7672.397447675518,623.0307948679408,80.84553780546987,7.424031711631327,80.85714144302612,7.435614174213507
LS_00113,80.89238529205322,7.420053482055664,20608.06974390765,985.9672452999478,80.88658401533354,7.414262739118479,80.89818633723337,7.425844149179262
LS_00114,80.89160950978598,7.421363830566406,3753.2696494281613,297.7838758408483,80.88580807584691,7.41557297651691,80.89741045256206,7.427154406345198
LS_00115,80.83946843147278,7.4313507080078125,564.4981050261157,99.05773106392635,80.83366636653533,7.425559287998494,80.84527034929657,7.437142054346136
LS_00116,80.83131384849548,7.430313110351562,535.4760369461866,88.31099560393358,80.82551169515192,7.424521586038086,80.83711585882646,7.4361045606865455
LS_00117,80.82170508458064,7.426992416381836,8858.636859996386,919.4388855050805,80.81590284785963,7.4212007699317795,80.82750716798724,7.432783989431595
LS_00118,80.82343888282776,7.421630859375,917.2418604100004,127.49756913410899,80.81763672981194,7.415839280018666,80.82924086177673,7.427422454799337
LS_00119,80.82350985209148,7.42022705078125,195.1830075075453,54.697357965139425,80.8177077408818,7.414435427850964,80.82931183337773,7.426018600686548
LS_00120,80.82360903422037,7.42103385925293,262.3737871801735,66.09430735072738,80.81780689876334,7.415242237531697,80.8294110103694,7.42682540791947
LS_00121,80.8205955505371,7.421651840209961,633.7438406145617,98.93233892171958,80.81479339037222,7.415860179424276,80.82639759545266,7.4274434266299725
LS_00122,80.82183694839478,7.421503067016602,333.64756896314157,75.81801605029615,80.81603479498014,7.415711422678554,80.82763896439509,7.427294638252564
LS_00123,80.81553592681885,7.430473327636719,1513.9444702461105,145.81497649581775,80.80973357358836,7.42468160214334,80.8213381447496,7.436264979254514
LS_00124,80.8151741027832,7.429710388183594,498.37679329192156,81.3160555563736,80.80937174692383,7.4239186583380175,80.82097630680781,7.43550204457226
LS_00125,80.83794927597046,7.443990707397461,1891.6372195872516,168.06809840509558,80.83214701176523,7.438199267323018,80.84375137260861,7.449782073083473
LS_00126,80.82098020826066,7.44398307800293,4116.113618458342,419.4495467948185,80.81517770015601,7.438191381224938,80.82678249560182,7.449774620985811
LS_00127,80.82714410261674,7.439569473266602,3381.42815951137,403.3988070977908,80.82134177619899,7.43377793539084,80.83294629515578,7.445361017254836
LS_00128,80.82767105102539,7.438728332519531,1018.3000805842072,145.66802454418286,80.82186874070162,7.432936725865212,80.83347322356029,7.444519794195558
LS_00129,80.82787680625916,7.439308166503906,673.1263170567885,160.53085012303825,80.82207448433999,7.433516597931126,80.83367897751525,7.44509966105105
LS_00130,80.82307179768881,7.443159103393555,568.4782726034584,93.35868680636123,80.81726935359397,7.437367473903143,80.82887407333024,7.4489506601441535
LS_00131,80.82636404478991,7.439842224121094,1596.6316321244326,233.04717594858147,80.82056170049977,7.4340506368733985,80.83216624675576,7.445633738692109
LS_00132,80.83620823871976,7.444562970103441,3266.4778757492045,270.62137337541407,80.83040561475532,7.438771508679991,80.84201003563898,7.450354359053993
LS_00133,80.87221723132663,7.4441986083984375,1472.7968235032708,158.74392957046894,80.86641541376692,7.4384076079370995,80.87801889897727,7.449989534127644
LS_00134,80.85150194168091,7.498687744140625,3785.6479662000834,371.56862003194095,80.84569867020763,7.492896724375664,80.85730415482386,7.504479182562511
LS_00135,80.77836537361145,7.498706817626953,3411.4413910575654,565.6824862133286,80.77256177232121,7.4929146102669915,80.7841691419241,7.504498949192932
LS_00136,80.77007443988401,7.51145599888367,820.1024279551702,124.8453105367023,80.76427040678884,7.505663685109133,80.77587833713534,7.5172482395927975
LS_00137,80.77227187156677,7.511421203613281,421.9701783789844,110.52856577708404,80.766467861589,7.505628917661279,80.77807573460615,7.517213415870871
LS_00138,80.76943039894104,7.5087127685546875,13554.335136098984,1306.070998122996,80.76362569191929,7.502915926007597,80.77523356367898,7.514500496227106
LS_00139,80.77323460578918,7.5059967041015625,811.7367636775899,125.94439614936334,80.76742566238966,7.500198709239423,80.77903336246466,7.511783181472669
