landslide_id,longitude,latitude,area_m2,perimeter_m,min_lon,min_lat,max_lon,max_lat,utm_x,utm_y
LS_00253,80.99533544267928,7.03422737121582,3983.53430751405,378.8046891250001,80.98954046933092,7.02843786982951,81.00113030591285,7.040016802788212,499484.83248350496,777532.5882918957
LS_00256,80.9781092779977,7.00929069519043,2958.91267033962,325.809957296308,80.97230027719941,7.003483815345149,80.98388989249321,7.015063184533223,497582.19506287796,774775.9764733022
LS_00257,81.05954005501488,7.050420761108398,3177.1827059022007,298.1991159317059,81.05374437142035,7.044630585691333,81.06533593850354,7.056210865843159,506575.5529781285,779323.1314056889
LS_00258,81.06703262329101,7.060201644897461,5464.798063017018,422.0571799402138,81.06123593411039,7.054394211893886,81.07282793068275,7.06597467365439,507402.870810792,780404.4896470126
LS_00259,81.05754566192627,7.075288772583008,3944.5555772105126,277.7263813159632,81.05174961717134,7.069498578806708,81.06334175940682,7.081078802591165,506354.95433390373,782072.1849333964
LS_00264,80.99686209360758,6.789178848266602,15111.345978823916,977.3035537329,80.99107012429563,6.783389308489954,81.00265398829198,6.79496831982179,499653.26179662696,750443.4227395668
LS_00269,80.6893478694715,7.034336090087891,1211.8049771232315,168.1937900691733,80.68353699048133,7.028523888576983,80.69513420997114,7.040110223220364,465690.5031071749,777555.9948769774
LS_00273,80.70461511611938,7.02998161315918,7880.732996952515,525.7366827963591,80.69881669174964,7.024188594734632,80.71041343718015,7.035774565332959,467376.38182243425,777073.5235422387
LS_00275,80.72123399902793,7.043214797973633,14304.92228569102,581.5339528509149,80.71543564211562,7.037421969987849,80.7270323344242,7.049007552866039,469212.73154365935,778535.2998642967
LS_00277,80.77864360809326,7.02978515625,6975.418397504763,466.0850976480842,80.77284611942417,7.023993018703669,80.78444109513998,7.035577226194198,475552.45328534953,777047.2932990916
LS_00282,80.8400965643104,6.995906057844112,3145.1412542754983,225.2484342648556,80.8343001420235,6.990114737382328,80.84589278140304,7.00169746428221,482338.3249832967,773299.2964847318
LS_00285,80.85539240292965,6.9795288052968125,2032.4577080356669,170.81670279666557,80.84959638458061,6.973737590993314,80.8611882436809,6.985319949407133,484027.2307294626,771488.2964965433
LS_00287,80.96535046895346,7.036741256713867,25138.6129884807,1111.0698356812402,80.9595551443176,7.0309513895301405,80.97114575622862,7.0425310615339125,496173.22359783016,777810.6292215763
LS_00290,80.96472644805908,7.021625518798828,3705.497744835493,350.2245712922326,80.95892664988855,7.01582991427395,80.97051690074625,7.027409607351573,496104.1793507692,776139.6395797005
LS_00292,80.95984363555908,7.001970291137695,3036.0718415923766,266.4947477467386,80.95404862112858,6.996180345348384,80.96563850353687,7.007760165186561,495564.70654752513,773966.8641022786
LS_00295,81.04488547643027,7.065513610839844,1272.1821781099616,188.3111686627651,81.03908975077692,7.059723617855046,81.0506813346471,7.071303532117808,504956.9528164533,780991.4171980273
LS_00297,81.17777114055312,7.106709150278085,12725.260789483566,1145.6172272837744,81.17197326323826,7.100917530669923,81.18356915629614,7.11250070079173,519630.54153336666,785548.9868150066
LS_00299,81.17133013407388,7.105926513671875,58361.44467702252,2186.7132239515145,81.16553249454601,7.100134972778462,81.17712821030388,7.1117179857797845,518919.31737290055,785462.2002055356
LS_00300,81.17259502410889,7.113002777099609,1615.9724026638842,226.24353063773083,81.1667971708573,7.107211219982371,81.17839309921882,7.118794264575676,519058.7030005554,786244.5155716444
LS_00301,81.16683053970337,7.111457824707031,1833.6724111477145,251.80096526958508,81.16103262484177,7.105666275699992,81.17262837260617,7.117249179382292,518422.2230211791,786073.4914444461
LS_00304,81.15374612808228,7.12211799621582,43472.4179499842,1184.916665726224,81.14794962608511,7.116322854661499,81.15954532685673,7.127905438887883,516976.9846462719,787251.4460581233
LS_00308,81.1630564265781,7.098564147949219,6930.837375463319,605.7658132001384,81.15725876437443,7.092772798345275,81.16885408935555,7.1043556088838455,518005.96808883443,784647.9796305471
LS_00312,81.16763553619384,7.090301513671875,3110.854322258818,410.7475213030659,81.16183800939062,7.084510038234228,81.17343323456464,7.096092959705945,518511.9606995206,783734.7468951194
LS_00315,81.17915855754507,7.08833122253418,2165.343128811821,257.32215946952414,81.17336090355451,7.0825395575800005,81.18495635886441,7.094122759136231,519784.5337515959,783517.4115159106
LS_00321,81.09365940093994,7.062713623046875,2173.617417100996,308.7636611510815,81.08786310914005,7.056923017280872,81.0994558239708,7.0685041324245015,510343.39427147707,780682.6880487556
LS_00327,81.11439590454101,7.081878662109375,3624.745177976713,268.0863811697296,81.10859913042862,7.076087816322207,81.1201928389955,7.087669437232407,512632.938135988,782801.8385499829
LS_00328,81.10617923736572,7.053678512573242,13763.514226742134,938.0943413800934,81.10038291255692,7.047887809595078,81.11197570612832,7.0594692325039485,511726.2671204466,779684.1802401015
LS_00329,81.10938630785262,7.062437057495117,9347.90317412292,764.1596314241266,81.10358983605667,7.056646335503308,81.11518292939361,7.068227835789881,512080.22419442196,780652.4929454166
