landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00431,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00431.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00431.png,
LS_00432,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00432.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00432.png,
LS_00435,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00435.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00435.png,
LS_00437,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00437.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00437.png,
LS_00438,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00438.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00438.png,
LS_00442,success,S2B_MSIL2A_20251001T045659_R119_T44NMN_20251001T082912,44.625133,0.59,2025-10-01,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00442.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00442.png,
LS_00444,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00444.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00444.png,
LS_00445,success,S2C_MSIL2A_20251003T050621_R076_T44NMP_20251003T090812,2.112417,0.0,2025-10-03,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00445.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00445.png,
LS_00446,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00446.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00446.png,
LS_00448,success,S2A_MSIL2A_20250908T050231_R119_T44NMP_20250908T080413,40.256369,12.5,2025-09-08,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00448.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00448.png,
LS_00449,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00449.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00449.png,
LS_00450,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00450.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00450.png,
LS_00453,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00453.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00453.png,
LS_00454,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,7.37,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00454.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00454.png,
LS_00455,success,S2A_MSIL2A_20250908T050231_R119_T44NMP_20250908T080413,40.256369,0.0,2025-09-08,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00455.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00455.png,
LS_00456,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00456.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00456.png,
LS_00457,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00457.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00457.png,
LS_00458,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00458.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00458.png,
LS_00459,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.1,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00459.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00459.png,
LS_00460,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00460.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00460.png,
LS_00461,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00461.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00461.png,
LS_00462,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,1.76,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00462.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00462.png,
LS_00463,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00463.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00463.png,
LS_00464,success,S2A_MSIL2A_20250908T050231_R119_T44NMP_20250908T080413,40.256369,0.0,2025-09-08,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00464.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00464.png,
LS_00466,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,11.62,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00466.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00466.png,
