landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00052,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00052.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00052.png,
LS_00053,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00053.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00053.png,
LS_00054,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00054.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00054.png,
LS_00055,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00055.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00055.png,
LS_00056,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00056.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00056.png,
LS_00057,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00057.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00057.png,
LS_00058,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00058.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00058.png,
LS_00059,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00059.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00059.png,
LS_00060,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00060.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00060.png,
LS_00061,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00061.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00061.png,
LS_00062,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00062.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00062.png,
